"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"355",355,355,355,"2020-03-04",32.6666666666667,54.6666666666667,16,0.966666666666667,34.3333333333333,76.3333333333333,54,970.666666666667,0.9,5.66666666666667,4.11513333333333,0,0,0,0,"Linfen",42
"356",356,356,356,"2020-03-05",35.6666666666667,61.3333333333333,16,0.833333333333333,33.6666666666667,94,58.6666666666667,970.666666666667,1.4,5.5,4.21103333333333,0,0,0,0,"Linfen",43
"357",357,357,357,"2020-03-06",50.6666666666667,82,16.3333333333333,0.966666666666667,38,102,52,968,1.4,6.83333333333333,4.2694,0,0,0,0,"Linfen",44
"358",358,358,358,"2020-03-07",56,93.6666666666667,15.6666666666667,0.966666666666667,38.6666666666667,108,56.6666666666667,965,1.4,8.33333333333333,4.31713333333333,0,0,0,0,"Linfen",45
"359",359,359,359,"2020-03-08",64,108.666666666667,20,1,42,105.666666666667,56.6666666666667,961,0.9,9.83333333333333,4.3291,0,0,0,0,"Linfen",46
"360",360,360,360,"2020-03-09",48.3333333333333,90.6666666666667,17.6666666666667,0.766666666666667,33,97,58.3333333333333,961.333333333333,1.4,10.8333333333333,4.3621,0,0,0,0,"Linfen",47
"361",361,361,361,"2020-03-10",37.3333333333333,87.3333333333333,12.3333333333333,0.566666666666667,26,91.6666666666667,42,964,2.46666666666667,11.1666666666667,4.3859,0,0,0,0,"Linfen",48
"362",362,362,362,"2020-03-11",25.3333333333333,75.3333333333333,9.33333333333333,0.566666666666667,26.3333333333333,87,38,966.333333333333,2.2,9.5,4.47143333333333,0,0,0,0,"Linfen",49
"363",363,363,363,"2020-03-12",30.3333333333333,88.6666666666667,13.3333333333333,0.8,36.6666666666667,79.6666666666667,32.3333333333333,965.333333333333,1.43333333333333,9.83333333333333,4.48966666666667,0,0,0,0,"Linfen",50
"364",364,364,364,"2020-03-13",29.6666666666667,80,14.3333333333333,0.866666666666667,39.3333333333333,78.3333333333333,31.3333333333333,965,0.366666666666667,10,4.52886666666667,0,0,0,0,"Linfen",51
"365",365,365,365,"2020-03-14",23.6666666666667,67.3333333333333,11,0.7,35.3333333333333,78.6666666666667,26.3333333333333,967.666666666667,1.13333333333333,10.6666666666667,4.5417,0,0,0,0,"Linfen",52
